study_hours,sleep_hours,attendance,previous_score,assignments_completed,concentration,final_score
6.6,4.1,67.4,54.5,3,7.7,75.8
4.5,4.2,64.8,70.3,2,6.9,66.8
7.3,7.9,73.9,67.2,6,8.7,98.6
7.1,5.9,62.0,95.6,7,3.7,85.5
4.1,6.0,70.5,56.8,2,8.1,56.9
4.1,7.0,92.3,76.6,7,7.0,80.6
7.2,4.3,65.3,58.2,3,9.0,81.9
4.8,8.6,62.3,61.9,6,7.9,75.4
7.0,4.4,83.6,71.9,5,4.1,69.8
6.6,7.1,85.8,89.2,2,4.6,91.5
0.8,5.7,67.0,53.8,7,4.5,48.4
6.6,4.8,61.3,83.7,10,4.8,85.6
6.1,8.9,73.0,54.3,4,6.6,79.7
1.5,7.5,90.6,65.6,3,5.7,65.9
6.2,6.6,66.3,73.0,2,7.8,85.4
7.6,8.2,70.3,58.4,4,6.2,88.5
9.6,8.8,66.9,70.0,4,6.6,96.9
8.5,6.8,64.0,62.9,4,6.8,88.4
7.9,6.9,55.0,60.2,2,3.8,64.4
8.2,5.3,65.8,73.8,3,3.6,88.0
5.1,4.4,89.2,84.9,4,7.6,84.2
5.5,7.3,98.4,94.0,5,8.0,90.9
4.3,7.7,71.8,92.4,9,3.8,82.8
6.1,5.3,64.9,46.0,2,4.6,69.3
9.1,8.7,58.2,55.3,9,4.5,96.2
5.9,6.6,90.3,87.2,5,3.7,90.3
6.8,5.9,73.5,90.4,2,7.7,86.5
4.3,5.9,93.8,55.9,5,6.8,75.1
1.8,5.0,75.8,91.0,3,6.1,70.5
1.0,9.5,92.6,96.3,5,4.2,68.9
5.1,5.2,73.0,45.3,8,3.0,61.2
8.0,5.6,86.3,82.9,10,7.6,100.0
5.1,5.0,64.8,45.3,10,3.4,70.3
5.0,9.1,78.9,45.2,10,3.6,79.2
2.3,7.3,85.4,55.2,3,9.6,65.1
0.9,4.5,84.6,73.7,7,9.5,69.8
2.4,7.9,65.7,64.2,6,6.2,78.2
0.6,7.4,80.3,47.6,10,4.5,59.6
3.0,9.1,94.6,91.2,7,5.0,77.3
3.4,9.4,91.3,71.6,10,5.1,85.7
6.8,9.2,61.0,48.5,3,8.2,80.9
2.5,5.9,85.9,89.8,10,6.4,85.0
9.1,8.7,59.2,65.7,6,3.3,84.3
9.8,4.9,74.9,81.5,10,3.1,97.2
1.2,8.9,95.7,72.6,7,7.1,77.4
3.4,8.9,90.8,90.2,7,4.5,83.7
2.9,4.6,90.1,91.5,8,9.8,85.5
2.7,4.9,91.0,51.9,8,3.2,55.9
7.5,5.8,96.9,86.9,5,4.9,90.3
8.8,8.7,65.0,87.7,9,5.4,95.9
8.3,8.8,65.0,79.0,8,5.3,100.0
3.2,7.5,73.0,96.9,10,5.3,74.6
0.8,8.8,66.8,74.5,6,3.3,58.9
8.0,6.4,99.3,48.5,5,4.8,81.5
7.2,4.0,96.7,72.2,5,5.5,90.5
3.6,5.7,93.2,82.3,6,6.5,82.3
6.8,5.8,86.4,73.0,5,5.9,90.5
9.1,7.4,68.5,72.7,2,5.1,82.1
2.5,8.3,82.3,60.0,9,6.1,76.7
9.1,8.4,62.6,46.7,10,7.6,99.0
6.4,4.5,97.8,55.2,6,4.6,79.3
2.8,6.6,93.2,46.1,8,9.2,78.0
6.0,8.0,72.3,64.4,4,7.6,88.4
7.8,4.6,74.1,51.8,10,6.3,87.1
5.8,9.0,60.5,49.5,9,7.7,89.2
9.5,8.9,82.6,82.3,10,6.0,100.0
9.1,6.5,62.2,90.2,9,4.8,95.7
7.8,6.9,83.2,57.4,3,8.0,91.6
2.7,5.8,95.2,46.5,4,4.6,60.9
1.1,6.2,79.4,65.3,5,8.8,61.5
4.2,8.2,97.6,43.1,8,6.3,82.3
4.2,8.9,92.6,72.1,10,8.6,90.2
9.0,6.7,67.3,69.2,8,5.4,89.4
2.1,6.6,60.7,76.8,2,9.3,63.3
6.1,7.6,58.8,66.0,9,4.3,80.2
4.8,5.9,94.6,57.6,8,4.8,82.4
1.3,4.1,79.3,98.0,7,4.6,79.9
0.9,4.2,66.1,89.0,4,4.7,64.8
5.0,4.6,97.6,68.0,6,8.4,86.5
7.6,4.6,91.9,96.0,3,7.1,96.0
9.3,7.2,95.9,63.0,5,3.5,87.1
1.5,8.2,93.3,75.6,3,8.6,67.3
5.9,4.2,79.0,79.0,3,6.5,72.9
8.3,4.6,98.2,77.6,9,8.0,100.0
4.6,8.0,98.4,57.1,10,8.4,81.0
6.1,5.8,66.0,94.3,6,9.2,91.5
2.8,6.6,82.5,63.2,2,6.5,63.8
3.9,5.4,67.6,75.4,6,6.9,79.3
5.4,5.1,65.9,64.8,10,8.3,81.9
5.2,8.4,59.2,54.4,5,5.1,65.6
6.0,6.6,78.9,65.8,10,5.3,84.6
2.9,4.7,63.7,48.7,10,9.7,70.7
7.1,5.1,88.2,57.5,10,7.2,98.8
3.3,6.0,68.6,81.6,4,4.9,67.9
9.8,7.0,86.4,49.1,9,3.7,95.6
5.0,5.9,98.4,56.1,9,3.8,79.5
1.1,6.7,81.0,80.4,4,4.0,59.6
9.9,4.7,89.4,76.0,5,8.4,96.6
4.1,9.0,68.4,75.0,8,5.1,74.7
7.5,9.2,64.4,53.8,3,4.1,72.1
2.2,4.4,55.1,67.2,9,5.0,66.0
7.2,6.5,85.9,93.7,5,6.0,97.9
5.7,7.6,95.9,88.3,3,3.4,82.5
8.3,9.1,74.8,68.2,6,7.9,88.2
9.5,6.8,77.2,46.5,2,9.2,86.9
0.7,5.3,85.3,90.2,2,10.0,64.0
6.9,5.5,56.8,84.4,9,6.6,84.7
10.0,6.4,91.6,96.3,9,5.4,100.0
3.7,7.7,93.6,60.5,9,5.0,86.8
5.7,6.5,69.2,60.1,8,9.1,82.0
8.3,4.0,94.1,67.9,2,4.3,75.6
6.4,8.2,64.2,72.8,6,6.1,89.0
7.1,4.7,98.8,76.1,5,8.0,89.9
4.4,5.2,92.9,48.4,3,7.5,72.1
2.0,9.1,68.1,81.5,8,8.8,83.2
5.7,6.1,96.5,70.5,4,9.0,85.4
3.1,8.3,73.7,94.3,10,4.9,90.1
8.5,7.2,84.7,90.5,9,6.8,100.0
3.8,7.0,79.5,67.5,7,9.1,84.7
4.1,8.7,73.5,59.8,9,7.9,81.9
8.2,6.1,84.9,88.0,4,6.5,96.8
6.1,8.8,94.3,66.7,10,9.4,99.1
0.6,4.8,94.2,96.3,3,6.3,71.6
7.1,7.6,93.3,89.7,10,5.7,97.9
3.5,8.0,89.2,90.9,2,7.3,79.2
3.2,5.3,59.1,96.8,3,6.1,76.8
7.1,9.0,57.1,86.6,6,5.5,84.1
4.4,7.7,63.1,51.8,8,7.3,77.6
2.8,9.0,61.4,67.8,6,6.2,66.3
4.9,5.6,79.6,46.1,7,9.9,71.6
3.3,9.3,86.1,67.6,6,4.4,70.7
2.8,7.1,80.9,97.6,6,3.2,77.8
8.4,6.2,55.4,90.4,2,9.4,89.1
9.1,8.3,65.4,86.9,5,7.5,87.6
6.4,7.7,87.4,78.9,4,7.4,92.8
3.4,6.4,81.1,83.0,3,9.4,74.3
3.6,6.3,64.0,86.0,7,6.7,84.7
2.9,8.5,76.7,87.2,7,8.6,78.8
4.9,4.4,88.9,54.6,8,9.8,84.9
8.0,4.1,79.1,67.5,6,7.1,82.9
8.3,9.2,59.9,55.1,2,7.3,85.8
6.3,7.6,83.6,68.0,6,7.5,85.5
1.6,4.2,56.7,97.8,3,3.7,61.4
4.8,7.7,88.4,95.0,8,7.1,89.6
7.4,8.9,84.5,88.7,8,9.6,100.0
2.6,6.4,65.6,62.3,7,6.8,76.3
9.8,6.0,72.9,52.6,3,9.6,91.1
2.5,7.5,98.7,44.8,7,4.7,67.4
1.7,7.1,58.1,84.8,5,7.1,70.0
7.9,8.3,81.8,57.5,4,9.9,88.2
5.6,8.4,59.9,90.5,4,3.1,77.2
3.6,5.0,57.4,83.5,10,3.8,70.6
1.1,6.5,71.3,75.2,9,6.5,72.3
7.9,8.8,78.5,67.7,2,3.4,79.8
5.1,6.2,85.9,69.5,9,3.5,85.5
1.1,5.5,83.5,72.7,7,5.7,70.5
6.2,5.6,77.7,66.1,3,9.0,76.6
7.3,5.2,75.3,54.8,7,8.8,80.3
4.3,8.0,69.1,59.5,6,5.6,79.3
1.1,8.6,59.2,47.4,7,8.7,74.1
5.8,7.2,80.3,60.5,3,5.9,83.4
4.5,9.0,57.3,58.1,6,5.5,65.0
6.0,5.2,84.6,54.6,3,5.5,71.1
